device_id,acl_name,seq_number,action,source_ip,source_mask,destination_ip,destination_mask,protocol,port,log,description,acl_type,direction,source_file
nrr_cor_c_sw001,25,10,permit,10.99.28.0,255.255.255.0,any,any,ip,,,IP access list,standard,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,25,20,permit,10.242.126.0,255.255.255.0,any,any,ip,,,IP access list,standard,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,25,30,permit,10.110.150.11,255.255.255.255,any,any,ip,,,IP access list,standard,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,25,40,permit,10.110.150.12,255.255.255.255,any,any,ip,,,IP access list,standard,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,25,50,permit,10.242.213.135,255.255.255.255,any,any,ip,,,IP access list,standard,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,25,60,permit,10.229.150.11,255.255.255.255,any,any,ip,,,IP access list,standard,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,25,70,permit,10.229.150.12,255.255.255.255,any,any,ip,,,IP access list,standard,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,10,permit,10.8.10.8,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,20,permit,192.168.100.6,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,30,permit,192.168.100.26,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,40,permit,192.100.4.186,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,50,permit,192.168.120.14,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,60,permit,192.168.34.122,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,70,permit,192.100.6.150,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,80,permit,192.100.8.153,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
nrr_cor_c_sw001,NEW_MGMT_ACL,90,permit,10.98.114.34,255.255.255.255,any,any,tcp,22,,Management ACL for SSH,extended,,configs/NRR-COR-C-SW001.alrajhi.bank-10.99.18.253-2025-05-15_11-05-59.log
